edge_id,src,rel,dst,spec_json,graph,exp_id,metric_json,valid_under_json,run_hash,data_snapshot_id
accec0d7dbe53420,feature:inst_turn_5,uses_data,base:inst_net_amt,"{""available_at"": ""T+1 Open""}",def,,,,,
34bb5ed17d1047af,feature:inst_turn_5,windowed_over,window:5D,{},def,,,,,
16e0cf5632f1c22f,feature:inst_turn_5,referenced_in,reference:cross_section,{},def,,,,,
05ef056d700a45ce,feature:inst_turn_5,applies_transform,transform:rolling_sum,"{""args"": [""W""]}",def,,,,,
1a41a92ff138e4ee,feature:inst_turn_5,applies_transform,transform:divide_by_rolling_sum,"{""args"": [""turnover_amt"", ""W""]}",def,,,,,
08b916e6bdcb81b1,feature:inst_turn_5,normalizes_by,base:turnover_amt,{},def,,,,,
f1c96afd1f35114a,feature:inst_turn_20,uses_data,base:inst_net_amt,"{""available_at"": ""T+1 Open""}",def,,,,,
70a854acf90f5090,feature:inst_turn_20,windowed_over,window:20D,{},def,,,,,
966599cc7dc60723,feature:inst_turn_20,referenced_in,reference:cross_section,{},def,,,,,
e469838ebfd9b545,feature:inst_turn_20,applies_transform,transform:rolling_sum,"{""args"": [""W""]}",def,,,,,
c9f6507741570116,feature:inst_turn_20,applies_transform,transform:divide_by_rolling_sum,"{""args"": [""turnover_amt"", ""W""]}",def,,,,,
a5f1a8eb18613c4b,feature:inst_turn_20,normalizes_by,base:turnover_amt,{},def,,,,,
263ce49871b3926b,feature:inst_turn_60,uses_data,base:inst_net_amt,"{""available_at"": ""T+1 Open""}",def,,,,,
1aeef13c93d0250e,feature:inst_turn_60,windowed_over,window:60D,{},def,,,,,
549c0ea27ddcf3ca,feature:inst_turn_60,referenced_in,reference:cross_section,{},def,,,,,
85c1ea1b9b3908a9,feature:inst_turn_60,applies_transform,transform:rolling_sum,"{""args"": [""W""]}",def,,,,,
69b04a850a9c369c,feature:inst_turn_60,applies_transform,transform:divide_by_rolling_sum,"{""args"": [""turnover_amt"", ""W""]}",def,,,,,
dd97f8f54570469f,feature:inst_turn_60,normalizes_by,base:turnover_amt,{},def,,,,,
c96cef47b41f564d,feature:foreign_turn_20,uses_data,base:foreign_net_amt,"{""available_at"": ""T+1 Open""}",def,,,,,
8c2a0238b2e1a4f3,feature:foreign_turn_20,windowed_over,window:20D,{},def,,,,,
2068196075be5fab,feature:foreign_turn_20,referenced_in,reference:cross_section,{},def,,,,,
717a70dab129af9c,feature:foreign_turn_20,applies_transform,transform:rolling_sum,"{""args"": [""W""]}",def,,,,,
e7d67257e0957710,feature:foreign_turn_20,applies_transform,transform:divide_by_rolling_sum,"{""args"": [""turnover_amt"", ""W""]}",def,,,,,
495cbb90c1c01f71,feature:foreign_turn_20,normalizes_by,base:turnover_amt,{},def,,,,,
0e80f0865d512f8d,feature:trust_turn_20,uses_data,base:trust_net_amt,"{""available_at"": ""T+1 Open""}",def,,,,,
4304f623a76651c3,feature:trust_turn_20,windowed_over,window:20D,{},def,,,,,
7ab86e23706e1d95,feature:trust_turn_20,referenced_in,reference:cross_section,{},def,,,,,
