feature,target,mean,median,mean_abs,p25,p75,sign_consistency,n_anchors,by_year,by_regime,label,flags,nonlinear_oof_r2
inst_turn_5,score,0.056,0.066,0.066,0.032,0.089,0.87,100,"{""2014"": 0.053, ""2015"": 0.042, ""2016"": 0.047, ""2017"": 0.066, ""2018"": 0.092, ""2019"": 0.072, ""2020"": 0.043, ""2021"": 0.068, ""2022"": 0.008, ""2023"": 0.039, ""2024"": 0.069, ""2025"": 0.062, ""2026"": 0.075}","{""normal"": 0.06, ""weak"": 0.045}",LOW_OBSERVED_OVERLAP,,
inst_turn_5,rev_rank,0.036,0.044,0.053,0.006,0.07,0.81,100,"{""2014"": 0.048, ""2015"": 0.036, ""2016"": 0.041, ""2017"": 0.033, ""2018"": 0.065, ""2019"": 0.04, ""2020"": 0.021, ""2021"": 0.049, ""2022"": -0.012, ""2023"": 0.008, ""2024"": 0.043, ""2025"": 0.048, ""2026"": 0.048}","{""normal"": 0.034, ""weak"": 0.04}",LOW_OBSERVED_OVERLAP,,0.0004
inst_turn_5,fp,0.089,0.101,0.108,0.039,0.147,0.85,100,"{""2014"": 0.063, ""2015"": 0.059, ""2016"": 0.058, ""2017"": 0.115, ""2018"": 0.074, ""2019"": 0.101, ""2020"": 0.05, ""2021"": 0.093, ""2022"": 0.07, ""2023"": 0.096, ""2024"": 0.101, ""2025"": 0.104, ""2026"": 0.204}","{""normal"": 0.111, ""weak"": 0.027}",LOW_OBSERVED_OVERLAP,,0.0084
inst_turn_5,chip,0.098,0.102,0.106,0.053,0.148,0.924,79,"{""2016"": -0.062, ""2017"": 0.156, ""2018"": 0.124, ""2019"": 0.128, ""2020"": 0.086, ""2021"": 0.065, ""2022"": 0.057, ""2023"": 0.102, ""2024"": 0.126, ""2025"": 0.068, ""2026"": 0.091}","{""normal"": 0.115, ""weak"": 0.047}",LOW_OBSERVED_OVERLAP,,0.0078
inst_turn_5,tilt,0.111,0.12,0.127,0.059,0.164,0.87,100,"{""2014"": 0.063, ""2015"": 0.059, ""2016"": 0.051, ""2017"": 0.175, ""2018"": 0.133, ""2019"": 0.153, ""2020"": 0.095, ""2021"": 0.094, ""2022"": 0.075, ""2023"": 0.126, ""2024"": 0.149, ""2025"": 0.102, ""2026"": 0.167}","{""normal"": 0.135, ""weak"": 0.04}",LOW_OBSERVED_OVERLAP,,0.0124
inst_turn_5,size,-0.009,-0.018,0.077,-0.068,0.059,0.59,100,"{""2014"": -0.01, ""2015"": 0.009, ""2016"": 0.026, ""2017"": 0.005, ""2018"": -0.013, ""2019"": -0.002, ""2020"": -0.056, ""2021"": 0.005, ""2022"": -0.042, ""2023"": 0.022, ""2024"": -0.02, ""2025"": -0.026, ""2026"": 0.01}","{""normal"": 0.01, ""weak"": -0.065}",LOW_OBSERVED_OVERLAP,,
inst_turn_5,liquidity,0.016,0.009,0.061,-0.04,0.057,0.58,100,"{""2014"": 0.048, ""2015"": 0.02, ""2016"": 0.056, ""2017"": -0.019, ""2018"": 0.03, ""2019"": 0.015, ""2020"": -0.016, ""2021"": 0.036, ""2022"": 0.007, ""2023"": -0.007, ""2024"": 0.006, ""2025"": 0.034, ""2026"": 0.012}","{""normal"": 0.013, ""weak"": 0.024}",LOW_OBSERVED_OVERLAP,,
inst_turn_5,volatility,0.01,-0.006,0.097,-0.06,0.086,0.47,100,"{""2014"": 0.046, ""2015"": 0.033, ""2016"": 0.015, ""2017"": -0.03, ""2018"": 0.031, ""2019"": -0.004, ""2020"": 0.053, ""2021"": 0.016, ""2022"": 0.035, ""2023"": -0.033, ""2024"": -0.012, ""2025"": 0.024, ""2026"": -0.069}","{""normal"": -0.016, ""weak"": 0.085}",LOW_OBSERVED_OVERLAP,,
inst_turn_5,turnover_rate,0.042,0.023,0.127,-0.054,0.131,0.55,100,"{""2014"": 0.095, ""2015"": 0.045, ""2016"": 0.045, ""2017"": 0.003, ""2018"": 0.084, ""2019"": 0.024, ""2020"": 0.049, ""2021"": 0.042, ""2022"": 0.053, ""2023"": -0.034, ""2024"": 0.044, ""2025"": 0.078, ""2026"": 0.005}","{""normal"": 0.01, ""weak"": 0.136}",LOW_OBSERVED_OVERLAP,,
inst_turn_20,score,0.102,0.098,0.106,0.067,0.139,0.94,100,"{""2014"": 0.078, ""2015"": 0.1, ""2016"": 0.076, ""2017"": 0.118, ""2018"": 0.154, ""2019"": 0.112, ""2020"": 0.116, ""2021"": 0.086, ""2022"": 0.036, ""2023"": 0.102, ""2024"": 0.101, ""2025"": 0.118, ""2026"": 0.13}","{""normal"": 0.107, ""weak"": 0.09}",LOW_OBSERVED_OVERLAP,,
